Query;QueryHash;Duration (ms);WorkerTime (ms);ComputeTime (ms)
322;56006063;29704;2186;1204
323;81180432;19256;1305;826
324;4415218;20613;1481;782
325;36461974;303;119;91
326;6452348;555;160;121
327;26573928;16502;2833;1980
328;14016417;16865;1328;835
329;167220349;505;260;197
330;79696828;22234;2327;1451
331;13637696;34344;2334;1322
332;15184711;803;132;97
333;238154568;27193;1849;1059
334;9359356;12331;2061;1325
335;133465741;12463;2306;1892
336;108356762;1137;332;253
337;55815699;18340;1957;1243
338;7680623;11775;1917;1208
339;38211367;11149;746;500
340;268855682;33263;2132;1262
341;105675612;37724;2151;1230
342;34517532;23766;1504;952
343;196332690;11413;413;200
344;193521715;21600;1172;644
345;232789039;34344;2140;1240
346;196785254;4283;207;102
347;3349529;6463;1341;1267
348;179606867;56235;2773;1698
349;9850935;21248;1084;681
350;17773433;11688;1275;1030
351;271525595;18952;1623;984
352;78863839;16555;1237;789
353;36660876;525;248;191
354;235524181;6469;792;709
355;79677838;1358;1520;1121
356;3488395;4896;1695;1207
357;153384502;1853;310;220
358;182664259;299;118;90
359;7972998;4086;173;114
360;33265335;2616;181;130
361;242545884;16859;878;558
362;189758899;27576;1917;1068
363;150428758;3597;289;215
364;88653176;19047;2464;1594
365;226594464;13278;2158;1450
366;46454631;396;173;131
367;31311890;13630;526;343
368;104340422;361;86;66
369;53470849;26842;2356;1574
370;250145851;18078;1804;1064
371;226217899;702;382;289
372;5593609;2346;82;51
373;144838193;15536;1223;788
374;29574023;9225;428;293
375;14886019;2786;91;62
376;188380835;1320;747;706
377;169219335;560;69;53
378;6457566;4621;83;59
379;62820157;28444;2659;1580
380;220959178;15318;1900;1179
381;223107068;509;232;179
382;206588481;15887;851;499
383;79413212;1209;51;37
384;255026160;23022;3649;2441
385;34885595;10194;252;88
386;12400995;12177;892;442
387;43266780;24846;1983;1084
388;29332016;2542;145;92
389;41023228;11532;1208;716
390;72816057;19148;2327;1399
391;83836343;33440;1640;961
392;44154000;24674;3053;1740
393;2642729;11339;852;556
394;101183011;26566;2724;1535
395;19153102;9643;696;453
396;111521076;21041;2164;1322
397;35495235;20805;2156;1307
398;223392589;6054;126;64
399;37355642;21215;2215;1324
400;18240015;15714;1675;1036
401;248254390;14528;1622;1003
402;4760916;1475;163;112
403;78254827;37799;1947;1165
404;31817316;16183;1059;664
405;222023740;467;259;197
406;136454700;12273;1204;760
407;266119094;20557;1061;522
408;4879957;8302;1778;1220
409;128165322;1226;90;60
410;45972038;13043;494;329
411;130828894;7215;660;450
412;141166258;10298;878;517
413;4526605;20471;1457;965
414;100321856;5381;104;73
415;126800622;20685;2085;1289
416;236469154;1191;189;140
417;137530884;7019;440;233
418;13481025;7286;118;59
419;36336026;20432;1487;785
420;193412642;9419;553;288
421;107875770;36059;1798;1043
422;265186370;3015;365;268
423;105074522;10970;1294;818
424;27489300;7470;114;78
425;4235279;7819;426;238
426;67439263;7678;617;321
427;167479033;13183;282;150
428;34759563;3087;94;65
429;37166604;14049;1095;676
430;101239078;25711;3182;1894
431;45875228;24447;2310;1418
432;199924661;17159;1586;962
433;26683209;3059;182;125
434;55335088;17935;1617;972
435;54273138;2379;182;130
436;16554151;23153;1818;1118
437;77349043;12559;267;147
438;49954462;14669;891;599
439;236683163;8799;1068;892
440;19678976;16619;687;445
441;45461967;33996;2961;1824
442;55293192;15220;2468;1587
443;9111551;21182;874;591
444;23275900;10387;1505;1040
445;220504427;2831;293;217
446;2768354;11358;2017;1322
447;57870867;22505;1598;1092
448;17083227;38584;2299;1344
449;29247225;459;294;223
450;118588451;11519;538;304
451;79763257;9893;1824;1335
452;16218701;11344;639;321
453;108850116;12736;2296;1515
454;197186048;7018;191;130
455;229326966;13589;1272;760
456;135628904;11782;534;309
457;176697412;4754;244;148
458;181330967;6852;95;63
459;267892010;24379;2182;1295
460;8223132;10386;290;190
461;249999483;17127;2521;1498
462;53151577;4956;674;594
463;93733608;1315;256;196
464;168051634;18236;1334;820
465;2697810;8127;578;377
466;192776280;9536;385;190
467;54727486;25114;2116;1216
468;152893155;8307;951;647
469;76193277;438;253;193
470;179657838;634;25;20
471;45300020;24348;2053;1201
472;166489175;19530;2147;1547
473;51802253;8739;2065;1426
474;87389568;20405;2627;1646
475;191388428;9685;704;462
476;175546993;37402;1970;1180
477;86172342;3724;358;242
478;136606234;14832;1738;1042
479;99732551;18714;1671;1142
480;150227309;18045;1613;1004
481;42130680;231;58;44
482;135724598;412;220;168
483;22325381;6214;326;187
484;10455311;2778;130;87
485;94689761;10438;802;490
486;8801748;6488;383;242
487;16569239;19319;2200;1637
488;158953101;420;247;188
489;221419060;10373;1924;1344
490;85362554;14183;2206;1368
491;78443013;13612;704;444
492;266711424;19376;2736;1728
493;242916879;19089;1713;958
494;75985749;19639;1058;573
495;71659406;348;83;64
496;222858620;12133;403;207
497;6600821;9537;501;283
498;236714178;8332;406;215
499;45656288;17395;981;548
500;81787495;15095;857;364
501;175624708;11540;257;148
502;154176166;16125;576;361
503;86834508;16049;1480;827
504;279270348;8049;1952;1383
505;70224151;13350;1193;786
506;236697884;11755;2217;1458
507;211423873;11375;1446;1119
508;197535946;11362;2361;1306
509;41600207;5471;198;100
510;149581213;10216;1479;984
511;183094837;457;78;59
